FIPS,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
30001,Beaverhead County,Montana,0.4357,-0.1475370055811696,0.0822615869934482,0.8909280500521376,0.2464377055169894,0.03363914373088685,0.0,0.048728813559322036,,0.0,0.0002194666959288928
30003,Big Horn County,Montana,0.4325,-0.20265510701706854,0.047683554592251425,0.27038494175730926,0.023204913456169707,0.11308853345348051,,0.0017006802721088435,,0.46938775510204084,0.00033170246289078697
30005,Blaine County,Montana,0.4686,-0.20069656073138878,0.08097518502394427,0.437187366014006,0.12416573971078981,0.1635620172648796,0.12903225806451613,0.27225130890052357,,0.0,0.003092624091541673
30007,Broadwater County,Montana,0.4199,-0.02873961218836565,0.16378116343490304,0.8942544459644323,0.360838210005732,0.0545822102425876,0.0,0.49612403100775193,,,0.0
30009,Carbon County,Montana,0.4626,-0.051102629346904155,0.14673452078032231,0.9112806840121357,0.2577779344626395,0.06018746916625555,0.0,0.06109324758842444,,0.0,0.000954380606986066
30011,Carter County,Montana,0.3892,-0.24707846410684475,0.04340567612687813,0.9191770756796473,0.20614736842105263,0.10266159695817491,0.0,0.0,,0.0,0.0
30013,Cascade County,Montana,0.4435,-0.07751582686413246,0.11435446446475121,0.8177090105317905,0.2003332173785679,0.04435281102283013,0.022357723577235773,0.08645161290322581,0.041474654377880185,0.21674311926605505,0.0007162693675467146
30015,Chouteau County,Montana,0.4419,-0.11754068716094032,0.08544303797468354,0.7569633152173914,0.10368795833776168,0.02050919377652051,0.0,0.15168539325842698,,0.11428571428571428,0.0
30017,Custer County,Montana,0.4456,-0.09397303727200634,0.1098334655035686,0.8912715697771821,0.1750715623564335,0.06976744186046512,0.0,0.0,,0.0,0.001146384479717813
30019,Daniels County,Montana,0.3843,-0.11731843575418995,0.06564245810055866,0.8930446194225722,0.13131139805242165,0.023668639053254437,0.0,0.0,1.0,0.0,0.0
30021,Dawson County,Montana,0.3993,-0.0522911051212938,0.11617250673854447,0.9083840432724815,0.4048039914468995,0.040533606977937404,,0.0,,0.52,0.0
30023,Deer Lodge County,Montana,0.4252,-0.1925438596491228,0.05986842105263158,0.8957106812447435,0.1362137076669352,0.07627118644067797,0.11538461538461539,0.0,0.0,0.0,0.0
30025,Fallon County,Montana,0.4872,-0.06986899563318777,0.16506550218340613,0.9272275470358537,0.2500581429152857,0.16804407713498623,,0.9285714285714286,,,0.0
30027,Fergus County,Montana,0.4323,-0.14057692307692307,0.09288461538461538,0.9210776271479146,0.19943750000000005,0.15518606492478226,0.47297297297297297,0.2190082644628099,1.0,0.0,0.0051974104130573535
30029,Flathead County,Montana,0.4495,-0.01944087403598972,0.15456298200514137,0.9043570473511918,0.1605629782907294,0.058229593284943836,0.08856088560885608,0.10158730158730159,0.0,0.1234375,0.0032833523319595864
30031,Gallatin County,Montana,0.4724,0.10393555995282924,0.22434090863664527,0.8778090577278753,0.17468395994089636,0.04705332450434308,0.25,0.15564077980185362,0.10638297872340426,0.09746434231378764,0.005209183980469858
30033,Garfield County,Montana,0.4626,-0.11302211302211303,0.14742014742014742,0.9680170575692963,0.19021739130434778,0.18834080717488788,0.0,,,,0.0
30035,Glacier County,Montana,0.4841,-0.26832774317201724,0.06013416387158601,0.2915481659738934,0.14853348330160931,0.29071969696969696,1.0,0.18037135278514588,0.0,0.7272727272727273,0.010341016735080517
30037,Golden Valley County,Montana,0.4541,-0.15469613259668508,0.08011049723756906,0.8821428571428571,0.42256870529121837,0.16666666666666666,0.0,0.2,0.0,0.0,0.0
30039,Granite County,Montana,0.4768,-0.15636363636363637,0.08581818181818182,0.9178122257970167,0.31561326600447626,0.11507293354943274,1.0,0.0,,0.0,0.0
30041,Hill County,Montana,0.4428,-0.1390941214262769,0.0828782524895599,0.6753997539975399,0.2647628962199806,0.04735959765297569,0.02127659574468085,0.05137614678899083,,0.3333333333333333,0.0006056935190793458
30043,Jefferson County,Montana,0.432,0.08997955010224949,0.23067484662576687,0.9119270458363331,0.15772573327369166,0.026305756767060616,0.0,0.10736196319018405,,0.5294117647058824,0.0017573221757322176
30045,Judith Basin County,Montana,0.5063,-0.08599779492833518,0.1565600882028666,0.9142717973697029,0.2584681597194548,0.014767932489451477,,0.0,,0.0,0.0015228426395939086
30047,Lake County,Montana,0.4879,-0.12698151950718686,0.10004106776180698,0.6428148286720918,0.23398348646857592,0.14033680834001605,0.0,0.20121028744326777,0.64,0.45394736842105265,0.0060775295663600525
30049,Lewis And Clark County,Montana,0.443,0.02394389169792856,0.1750448540205513,0.8865252135574538,0.18893164464913348,0.05640271908873783,0.09134615384615384,0.03423423423423423,0.0,0.10020040080160321,0.0016462943807456403
30051,Liberty County,Montana,0.4998,-0.20583941605839415,0.08321167883211679,0.959349593495935,0.20792888888888894,0.02054794520547945,,,,,0.0022185246810870773
30053,Lincoln County,Montana,0.4437,-0.2473470309324904,0.0678482727477986,0.9072908597986057,0.34289083676558596,0.14602111769250578,0.0,0.4431438127090301,,0.0,0.0036461234617916646
30055,McCone County,Montana,0.3877,0.011002444987775062,0.14547677261613692,0.9125412541254125,0.2351627838881467,0.042134831460674156,,,,,0.0
30057,Madison County,Montana,0.4127,-0.04563867134755604,0.1136916014042668,0.9154317548746518,0.33931609521327954,0.06908874329958309,,0.022082018927444796,,0.0,0.002664195528784895
30059,Meagher County,Montana,0.4441,-0.1616499442586399,0.10033444816053512,0.9156139464375948,0.025736146533735238,0.066006600660066,0.0,0.0,,0.1111111111111111,0.0
30061,Mineral County,Montana,0.452,-0.07129455909943715,0.13414634146341464,0.8896997497914929,0.19292654089343542,0.046052631578947366,0.06896551724137931,0.04242424242424243,,0.0,0.0
30063,Missoula County,Montana,0.472,-0.02364354595097014,0.15717826575268193,0.8518877623517415,0.16912384161752314,0.03050464474014562,0.04190751445086705,0.0750563355867568,0.0,0.08318739054290718,0.003233636833664876
30065,Musselshell County,Montana,0.4738,-0.1318629751290474,0.0994838104176443,0.8770718232044199,0.3292486123180053,0.16998011928429424,,0.016304347826086956,,0.0,0.0
30067,Park County,Montana,0.4793,-0.06237132130313673,0.1475112026159622,0.9152939830702357,0.18971055685430294,0.05342510652245166,0.0,0.14558058925476602,,0.09195402298850575,0.00042004200420042004
30069,Petroleum County,Montana,0.4207,-0.105,0.1,0.9925187032418953,0.2837891262870207,0.05263157894736842,,,,,0.0
30071,Phillips County,Montana,0.4401,-0.14697569248162803,0.08648954211418881,0.8155776515151515,0.29839694198170796,0.0019860973187686196,0.0,0.0,,0.0,0.0
30073,Pondera County,Montana,0.4503,-0.1549107142857143,0.09330357142857143,0.7894211576846307,0.14869065274363613,0.030976430976430977,0.0,0.029197080291970802,,0.5,0.009601706970128023
30075,Powder River County,Montana,0.47,-0.025245441795231416,0.1150070126227209,0.8723041997729852,-0.20305672334168623,0.0,,0.0,,0.0,0.0
30077,Powell County,Montana,0.4452,-0.12947189097103917,0.07410562180579217,0.8620002845354958,0.2082578582844965,0.12642585551330798,0.0,0.06666666666666667,,,0.0004420215117135701
30079,Prairie County,Montana,0.522,-0.2865384615384615,0.07884615384615384,0.8936850519584333,-0.0030354814048658696,0.0,,0.0,,,0.0
30081,Ravalli County,Montana,0.4385,-0.024122690239096863,0.1427126045050322,0.8899294867596655,0.20724599167331026,0.07694028181614851,0.0,0.06930693069306931,,0.029498525073746312,0.0011859961227049835
30083,Richland County,Montana,0.4563,-0.028444444444444446,0.1411111111111111,0.8735987289257657,0.4226611849270312,0.04426559356136821,0.0,0.08373590982286634,0.0,0.0,0.002156789197299325
30085,Roosevelt County,Montana,0.4663,-0.22322623828647925,0.06894243641231593,0.32827004219409284,0.17313242699894504,0.2935389524062749,0.0,0.19148936170212766,,0.4,0.00030721966205837174
