GEOID,Tract,County,State,FacID,cat,measure,value,RE,Sex,def,fmt,source,lbl
16001001900,Census Tract 19,Ada County,ID,689,Travel time to Screening Facility,Minutes,6.25213002742,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,6
16001001900,Census Tract 19,Ada County,ID,903,Travel time to Screening Facility,Minutes,6.46756200013,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001002000,Census Tract 20,Ada County,ID,191,Travel time to Screening Facility,Minutes,2.33578508718,NA,NA,Minutes to Gastroenterology,float64,src-TBD,2
16001002000,Census Tract 20,Ada County,ID,689,Travel time to Screening Facility,Minutes,3.43320912931,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,3
16001002000,Census Tract 20,Ada County,ID,903,Travel time to Screening Facility,Minutes,2.41986456973,NA,NA,Minutes to Mammography,float64,src-TBD,2
16001002100,Census Tract 21,Ada County,ID,505,Travel time to Screening Facility,Minutes,11.6561470621,NA,NA,Minutes to Gastroenterology,float64,src-TBD,12
16001002100,Census Tract 21,Ada County,ID,689,Travel time to Screening Facility,Minutes,12.2823275593,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,12
16001002100,Census Tract 21,Ada County,ID,903,Travel time to Screening Facility,Minutes,12.4249335539,NA,NA,Minutes to Mammography,float64,src-TBD,12
16001002223,Census Tract 22.23,Ada County,ID,463,Travel time to Screening Facility,Minutes,6.77087472655,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001002223,Census Tract 22.23,Ada County,ID,717,Travel time to Screening Facility,Minutes,7.35533539739,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,7
16001002223,Census Tract 22.23,Ada County,ID,867,Travel time to Screening Facility,Minutes,6.98351430865,NA,NA,Minutes to Mammography,float64,src-TBD,7
16001002225,Census Tract 22.25,Ada County,ID,505,Travel time to Screening Facility,Minutes,4.77990797558,NA,NA,Minutes to Gastroenterology,float64,src-TBD,5
16001002225,Census Tract 22.25,Ada County,ID,717,Travel time to Screening Facility,Minutes,9.921465185,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,10
16001002225,Census Tract 22.25,Ada County,ID,867,Travel time to Screening Facility,Minutes,9.54964409626,NA,NA,Minutes to Mammography,float64,src-TBD,10
16001002226,Census Tract 22.26,Ada County,ID,505,Travel time to Screening Facility,Minutes,8.6765423064,NA,NA,Minutes to Gastroenterology,float64,src-TBD,9
16001002226,Census Tract 22.26,Ada County,ID,717,Travel time to Screening Facility,Minutes,15.4179733572999,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,15
16001002226,Census Tract 22.26,Ada County,ID,867,Travel time to Screening Facility,Minutes,15.0461522686,NA,NA,Minutes to Mammography,float64,src-TBD,15
16001002227,Census Tract 22.27,Ada County,ID,505,Travel time to Screening Facility,Minutes,6.31097651464,NA,NA,Minutes to Gastroenterology,float64,src-TBD,6
16001002227,Census Tract 22.27,Ada County,ID,717,Travel time to Screening Facility,Minutes,8.22206868223,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001002227,Census Tract 22.27,Ada County,ID,867,Travel time to Screening Facility,Minutes,7.85024759349,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001002228,Census Tract 22.28,Ada County,ID,505,Travel time to Screening Facility,Minutes,11.1625828272,NA,NA,Minutes to Gastroenterology,float64,src-TBD,11
16001002228,Census Tract 22.28,Ada County,ID,689,Travel time to Screening Facility,Minutes,12.0334342212,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,12
16001002228,Census Tract 22.28,Ada County,ID,903,Travel time to Screening Facility,Minutes,12.1760402158,NA,NA,Minutes to Mammography,float64,src-TBD,12
16001002229,Census Tract 22.29,Ada County,ID,505,Travel time to Screening Facility,Minutes,9.29921541699999,NA,NA,Minutes to Gastroenterology,float64,src-TBD,9
16001002229,Census Tract 22.29,Ada County,ID,717,Travel time to Screening Facility,Minutes,11.9893932483,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,12
16001002229,Census Tract 22.29,Ada County,ID,867,Travel time to Screening Facility,Minutes,11.6175721596,NA,NA,Minutes to Mammography,float64,src-TBD,12
16001002230,Census Tract 22.30,Ada County,ID,463,Travel time to Screening Facility,Minutes,10.3512808734,NA,NA,Minutes to Gastroenterology,float64,src-TBD,10
16001002230,Census Tract 22.30,Ada County,ID,717,Travel time to Screening Facility,Minutes,10.9203090871,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,11
16001002230,Census Tract 22.30,Ada County,ID,867,Travel time to Screening Facility,Minutes,10.3925787784,NA,NA,Minutes to Mammography,float64,src-TBD,10
16001002231,Census Tract 22.31,Ada County,ID,463,Travel time to Screening Facility,Minutes,7.28828435206,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001002231,Census Tract 22.31,Ada County,ID,717,Travel time to Screening Facility,Minutes,7.85731256577,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001002231,Census Tract 22.31,Ada County,ID,867,Travel time to Screening Facility,Minutes,7.32958225706,NA,NA,Minutes to Mammography,float64,src-TBD,7
16001002313,Census Tract 23.13,Ada County,ID,191,Travel time to Screening Facility,Minutes,5.85111800322,NA,NA,Minutes to Gastroenterology,float64,src-TBD,6
16001002313,Census Tract 23.13,Ada County,ID,717,Travel time to Screening Facility,Minutes,6.16219281206,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,6
16001002313,Census Tract 23.13,Ada County,ID,867,Travel time to Screening Facility,Minutes,5.63446250335,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001002314,Census Tract 23.14,Ada County,ID,459,Travel time to Screening Facility,Minutes,4.19148565009,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001002314,Census Tract 23.14,Ada County,ID,717,Travel time to Screening Facility,Minutes,4.88329445519,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,5
16001002314,Census Tract 23.14,Ada County,ID,867,Travel time to Screening Facility,Minutes,4.35556414648,NA,NA,Minutes to Mammography,float64,src-TBD,4
16001002315,Census Tract 23.15,Ada County,ID,459,Travel time to Screening Facility,Minutes,7.11128136486,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001002315,Census Tract 23.15,Ada County,ID,717,Travel time to Screening Facility,Minutes,8.05727477507,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001002315,Census Tract 23.15,Ada County,ID,867,Travel time to Screening Facility,Minutes,7.52954446636,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001002316,Census Tract 23.16,Ada County,ID,191,Travel time to Screening Facility,Minutes,7.31141554026,NA,NA,Minutes to Gastroenterology,float64,src-TBD,7
16001002316,Census Tract 23.16,Ada County,ID,689,Travel time to Screening Facility,Minutes,7.72144515112,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,8
16001002316,Census Tract 23.16,Ada County,ID,903,Travel time to Screening Facility,Minutes,7.39549502281,NA,NA,Minutes to Mammography,float64,src-TBD,7
16001002317,Census Tract 23.17,Ada County,ID,459,Travel time to Screening Facility,Minutes,8.15147826163999,NA,NA,Minutes to Gastroenterology,float64,src-TBD,8
16001002317,Census Tract 23.17,Ada County,ID,717,Travel time to Screening Facility,Minutes,8.99676411109999,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,9
16001002317,Census Tract 23.17,Ada County,ID,867,Travel time to Screening Facility,Minutes,8.46903380238999,NA,NA,Minutes to Mammography,float64,src-TBD,8
16001002318,Census Tract 23.18,Ada County,ID,191,Travel time to Screening Facility,Minutes,5.67624061281,NA,NA,Minutes to Gastroenterology,float64,src-TBD,6
16001002318,Census Tract 23.18,Ada County,ID,689,Travel time to Screening Facility,Minutes,6.08627022367,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,6
16001002318,Census Tract 23.18,Ada County,ID,903,Travel time to Screening Facility,Minutes,5.76032009536,NA,NA,Minutes to Mammography,float64,src-TBD,6
16001002319,Census Tract 23.19,Ada County,ID,191,Travel time to Screening Facility,Minutes,4.19739626219,NA,NA,Minutes to Gastroenterology,float64,src-TBD,4
16001002319,Census Tract 23.19,Ada County,ID,689,Travel time to Screening Facility,Minutes,5.29482030432,NA,NA,Minutes to Lung Cancer Screening,float64,src-TBD,5
16001002319,Census Tract 23.19,Ada County,ID,903,Travel time to Screening Facility,Minutes,4.28147574474,NA,NA,Minutes to Mammography,float64,src-TBD,4
