"FIPS","County","State","Insurance.Coverage","Medicaid.Enrollment","Household.Income","Annual.Labor.Force.Participation.Rate","Annual.Unemployment.Rate","Below.Poverty","Received.Public.Assistance","Monthly.Unemployment.Rate..Sep.","Uninsured"
32007,"Elko County","Nevada",0.910967014378348,0.155323747768067,83427,0.675714494376552,0.0425838527218359,0.0722395793644746,0.0909137419420853,0.039,0.0890329856216521
32009,"Esmeralda County","Nevada",0.930890052356021,0.0900523560209424,NA,0.438202247191011,0.0282051282051282,0.024,0.37525354969574,0.047,0.069109947643979
32011,"Eureka County","Nevada",0.896009673518742,0.257557436517533,73095,0.414705882352941,0,0.135321100917431,0.0904761904761905,0.038,0.103990326481258
32013,"Humboldt County","Nevada",0.919906596614127,0.152539404553415,79946,0.632887620192308,0.0541246290801187,0.0858707557502738,0.101757896241246,0.041,0.0800934033858728
32015,"Lander County","Nevada",0.948511383537653,0.203502626970228,84474,0.619058606368251,0.0920611256056653,0.0829355608591885,0.116724738675958,0.036,0.0514886164623468
32017,"Lincoln County","Nevada",0.897684839432412,0.168035847647498,69496,0.494484280198566,0.0172894590072504,0.0412890231621349,0.108241082410824,0.048,0.102315160567588
32019,"Lyon County","Nevada",0.910423966653935,0.179915970573094,73460,0.588413765017308,0.0629823165034433,0.071948364234639,0.121333731802075,0.057,0.089576033346065
32021,"Mineral County","Nevada",0.910250671441361,0.292524619516562,50584,0.45511767925561,0.0523150932050511,0.167342799188641,0.17378752886836,0.069,0.0897493285586393
32023,"Nye County","Nevada",0.907888205872246,0.269768240998816,55975,0.408491659196747,0.0953757225433526,0.107041834152151,0.15813699129563,0.066,0.0921117941277538
32027,"Pershing County","Nevada",0.91225095379398,0.193726155150487,72007,0.407461328480437,0.0602947744528807,0.0507936507936508,0.0703844071467244,0.047,0.0877490462060195
32029,"Storey County","Nevada",0.954257907542579,0.122384428223844,96000,0.470988831381095,0.0682475419317525,0.0190294957183635,0.0544290288153682,0.042,0.0457420924574209
32031,"Washoe County","Nevada",0.902702846523508,0.14865655879295,85600,0.65614313339454,0.0496557193292818,0.0653914334006678,0.115263762932686,0.041,0.0972971534764918
32033,"White Pine County","Nevada",0.955241935483871,0.188306451612903,72294,0.506880733944954,0.0492414160234229,0.0418250950570342,0.101849134135603,0.032,0.0447580645161291
32510,"Carson City","Nevada",0.892250882822163,0.160324089841719,71809,0.591534038830097,0.0414142837019299,0.0819727660727593,0.111153390833756,0.043,0.107749117177837
49001,"Beaver County","Utah",0.800668799069497,0.0834544925850538,85603,0.593638914873714,0.0239520958083832,0.0574468085106383,0.0431684828164292,0.027,0.199331200930503
49003,"Box Elder County","Utah",0.92050089324839,0.113863889169785,77865,0.654291113569322,0.0320876334049523,0.0618655038495605,0.072532637075718,0.024,0.0794991067516095
49005,"Cache County","Utah",0.932471401422041,0.124637702428036,78292,0.702395839536315,0.023808850958006,0.0791794188054907,0.0618767104225613,0.022,0.0675285985779591
