FIPS,County,State,Insurance Coverage,Medicaid Enrollment,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Monthly Unemployment Rate (Jun),Uninsured
30083,Richland County,Montana,0.9285022453112618,0.14898300607554812,67515.0,0.667607223476298,0.04902789518174133,0.061155152887882216,0.07109737248840804,0.027000000000000003,0.0714977546887382
30085,Roosevelt County,Montana,0.6868495742667928,0.2360454115421003,51038.0,0.5313862825426192,0.0860482467047998,0.2484472049689441,0.12852459016393442,0.039,0.31315042573320717
30087,Rosebud County,Montana,0.8358644150164014,0.24140444660430083,57656.0,0.5869706840390879,0.09239733629300777,0.1244192049561177,0.12783437397305292,0.037000000000000005,0.1641355849835986
30089,Sanders County,Montana,0.8766914885098887,0.27111858435423175,47110.0,0.4064751567324787,0.05179558011049724,0.11472868217054263,0.11391705069124423,0.04,0.12330851149011135
30091,Sheridan County,Montana,0.8886444872147374,0.16002199615067364,67457.0,0.6103633916554508,0.015435501653803748,0.07394766780432309,0.04169562195969423,0.018000000000000002,0.11135551278526257
30093,Silver Bow County,Montana,0.9291571291976937,0.2553820299597253,56297.0,0.5996382482868969,0.04588433203782122,0.08841010401188708,0.14058355437665782,0.033,0.07084287080230633
30095,Stillwater County,Montana,0.9570931146804448,0.1590475120745816,78380.0,0.5968422485368178,0.026453819840364882,0.05724164425662697,0.06498289923704288,0.026000000000000002,0.04290688531955522
30097,Sweet Grass County,Montana,0.908149359498501,0.10956663941128372,64872.0,0.6204403549129149,0.0211864406779661,0.037037037037037035,0.042185338865836794,0.018000000000000002,0.09185064050149905
30099,Teton County,Montana,0.9145983017635533,0.23726322664924887,65224.0,0.6024742268041237,0.02053388090349076,0.06806930693069307,0.07224025974025974,0.027000000000000003,0.08540169823644672
30101,Toole County,Montana,0.9074660633484163,0.27963800904977376,54040.0,0.534507722007722,0.03927765237020316,0.03300970873786408,0.0818941504178273,0.021,0.09253393665158371
